r,e,y,AnnualEmissions
"Atlantis_00A","CO2",2014,18.2653372486764
"Atlantis_00A","CO2",2015,18.7834444522959
"Atlantis_00A","CO2",2016,19.4665868728542
"Atlantis_00A","CO2",2017,20.4455836436886
"Atlantis_00A","CO2",2018,20.9943582283694
"Atlantis_00A","CO2",2019,21.2435531529132
"Atlantis_00A","CO2",2020,17.9636896484802
"Atlantis_00A","CO2",2021,21.7780179450043
"Atlantis_00A","CO2",2022,23.1581715681609
"Atlantis_00A","CO2",2023,23.5112563008995
"Atlantis_00A","CO2",2024,24.0167705253553
"Atlantis_00A","CO2",2025,24.5592593162612
"Atlantis_00A","CO2",2026,25.1272911071671
"Atlantis_00A","CO2",2027,25.6466705974235
"Atlantis_00A","CO2",2028,25.8624490351745
"Atlantis_00A","CO2",2029,26.2365663444114
"Atlantis_00A","CO2",2030,26.0199149824152
"Atlantis_00A","CO2",2031,26.4321999275433
"Atlantis_00A","CO2",2032,26.8727566892299
"Atlantis_00A","CO2",2033,27.3098896053816
"Atlantis_00A","CO2",2034,27.7798622972485
"Atlantis_00A","CO2",2035,28.2098169406862
"Atlantis_00A","CO2",2036,28.8038754066765
"Atlantis_00A","CO2",2037,29.2516966991565
"Atlantis_00A","CO2",2038,29.7210013799865
"Atlantis_00A","CO2",2039,30.1983377325278
"Atlantis_00A","CO2",2040,30.5291470634851
"Atlantis_00A","CO2",2041,30.7648262856008
"Atlantis_00A","CO2",2042,31.0559232642722
"Atlantis_00A","CO2",2043,31.3461245447725
"Atlantis_00A","CO2",2044,31.6368281271017
"Atlantis_00A","CO2",2045,31.9300339028724
"Atlantis_00A","CO2",2046,32.230828980472
"Atlantis_00A","CO2",2047,32.5401011097491
"Atlantis_00A","CO2",2048,32.8630533937481
"Atlantis_00A","CO2",2049,33.1752286888495
"Atlantis_00A","CO2",2050,33.4429410540005
"Atlantis_00A","CO2",2051,33.7582208716548
"Atlantis_00A","CO2",2052,34.0631553392388
"Atlantis_00A","CO2",2053,34.3447828549625
"Atlantis_00A","CO2",2054,34.6504598212179
"Atlantis_00A","CO2",2055,34.949954798026
"Atlantis_00A","CH4",2014,0.0149611108384576
"Atlantis_00A","CH4",2015,0.014991392925179
"Atlantis_00A","CH4",2016,0.014991392925179
"Atlantis_00A","CH4",2017,0.0187766537653513
"Atlantis_00A","CH4",2018,0.0201696297545347
"Atlantis_00A","CH4",2019,0.0221955013561949
"Atlantis_00A","CH4",2020,0.0221955013561949
"Atlantis_00A","CH4",2021,0.0221955013561949
"Atlantis_00A","CH4",2022,0.0221955013561949
"Atlantis_00A","CH4",2023,0.0221955013561949
"Atlantis_00A","CH4",2024,0.0221955013561949
"Atlantis_00A","CH4",2025,0.0221955013561949
"Atlantis_00A","CH4",2026,0.0221955013561949
"Atlantis_00A","CH4",2027,0.0221955013561949
"Atlantis_00A","CH4",2028,0.0221955013561949
"Atlantis_00A","CH4",2029,0.0221955013561949
"Atlantis_00A","CH4",2030,0.0291913326620964
"Atlantis_00A","CH4",2031,0.0313008957390195
"Atlantis_00A","CH4",2032,0.0335109142005579
"Atlantis_00A","CH4",2033,0.0392682369833225
"Atlantis_00A","CH4",2034,0.0409867008860016
"Atlantis_00A","CH4",2035,0.0407551512809764
"Atlantis_00A","CH4",2036,0.0475666429289064
"Atlantis_00A","CH4",2037,0.0500266240712362
"Atlantis_00A","CH4",2038,0.0524179119587859
"Atlantis_00A","CH4",2039,0.0552808904203243
"Atlantis_00A","CH4",2040,0.0574406811895551
"Atlantis_00A","CH4",2041,0.0633880641514887
"Atlantis_00A","CH4",2042,0.0664519533822579
"Atlantis_00A","CH4",2043,0.0696162979976426
"Atlantis_00A","CH4",2044,0.0728810979976426
"Atlantis_00A","CH4",2045,0.0762463533822579
"Atlantis_00A","CH4",2046,0.0797120641514887
"Atlantis_00A","CH4",2047,0.0827555214629155
"Atlantis_00A","CH4",2048,0.0859294126591178
"Atlantis_00A","CH4",2049,0.0891902597785038
"Atlantis_00A","CH4",2050,0.0888888936246576
"Atlantis_00A","CH4",2051,0.0923211929647257
"Atlantis_00A","CH4",2052,0.0962891806570333
"Atlantis_00A","CH4",2053,0.103637451757622
"Atlantis_00A","CH4",2054,0.10781125595803
"Atlantis_00A","CH4",2055,0.111550360654926
