r,e,y,AnnualEmissions
"Atlantis_00A","CO2",2014,18.2653372486765
"Atlantis_00A","CO2",2015,18.7834444522959
"Atlantis_00A","CO2",2016,19.4665868728542
"Atlantis_00A","CO2",2017,20.4455836436886
"Atlantis_00A","CO2",2018,20.9943582283694
"Atlantis_00A","CO2",2019,21.2435531529132
"Atlantis_00A","CO2",2020,17.9636896484802
"Atlantis_00A","CO2",2021,21.7780179450043
"Atlantis_00A","CO2",2022,23.1581715681609
"Atlantis_00A","CO2",2023,23.5112563008995
"Atlantis_00A","CO2",2024,24.0167705253553
"Atlantis_00A","CO2",2025,24.5592593162612
"Atlantis_00A","CO2",2026,25.1272911071671
"Atlantis_00A","CO2",2027,25.6466705974235
"Atlantis_00A","CO2",2028,25.9644748123854
"Atlantis_00A","CO2",2029,26.4341463865164
"Atlantis_00A","CO2",2030,26.76501811422
"Atlantis_00A","CO2",2031,27.2298338212513
"Atlantis_00A","CO2",2032,27.7111788779578
"Atlantis_00A","CO2",2033,28.2049183682142
"Atlantis_00A","CO2",2034,28.7212598584706
"Atlantis_00A","CO2",2035,29.1980979848751
"Atlantis_00A","CO2",2036,30.0167024827073
"Atlantis_00A","CO2",2037,30.51293585424
"Atlantis_00A","CO2",2038,31.0309448760975
"Atlantis_00A","CO2",2039,31.5595558979549
"Atlantis_00A","CO2",2040,31.8223843433112
"Atlantis_00A","CO2",2041,32.1633622620221
"Atlantis_00A","CO2",2042,32.4415342620221
"Atlantis_00A","CO2",2043,32.7792542927649
"Atlantis_00A","CO2",2044,33.1177897481722
"Atlantis_00A","CO2",2045,33.4600115532548
"Atlantis_00A","CO2",2046,33.8101221415625
"Atlantis_00A","CO2",2047,34.1726605130952
"Atlantis_00A","CO2",2048,34.5488761014028
"Atlantis_00A","CO2",2049,34.918102955511
"Atlantis_00A","CO2",2050,35.2044741025879
"Atlantis_00A","CO2",2051,35.5847310629208
"Atlantis_00A","CO2",2052,36.3987757643239
"Atlantis_00A","CO2",2053,36.7803339822839
"Atlantis_00A","CO2",2054,37.1644568995944
"Atlantis_00A","CO2",2055,37.5507070827054
"Atlantis_00A","CH4",2014,0.0149611108384576
"Atlantis_00A","CH4",2015,0.014991392925179
"Atlantis_00A","CH4",2016,0.014991392925179
"Atlantis_00A","CH4",2017,0.0187766537653513
"Atlantis_00A","CH4",2018,0.0201696297545347
"Atlantis_00A","CH4",2019,0.0221955013561949
"Atlantis_00A","CH4",2020,0.0221955013561949
"Atlantis_00A","CH4",2021,0.0221955013561949
"Atlantis_00A","CH4",2022,0.0221955013561949
"Atlantis_00A","CH4",2023,0.0221955013561949
"Atlantis_00A","CH4",2024,0.0221955013561949
"Atlantis_00A","CH4",2025,0.0221955013561949
"Atlantis_00A","CH4",2026,0.0221955013561949
"Atlantis_00A","CH4",2027,0.0221955013561949
"Atlantis_00A","CH4",2028,0.0221955013561949
"Atlantis_00A","CH4",2029,0.0221955013561949
"Atlantis_00A","CH4",2030,0.0221955013561949
"Atlantis_00A","CH4",2031,0.0221955013561949
"Atlantis_00A","CH4",2032,0.0221955013561949
"Atlantis_00A","CH4",2033,0.0221955013561949
"Atlantis_00A","CH4",2034,0.0221955013561949
"Atlantis_00A","CH4",2035,0.0221955013561949
"Atlantis_00A","CH4",2036,0.0221955013561949
"Atlantis_00A","CH4",2037,0.0221955013561949
"Atlantis_00A","CH4",2038,0.0221955013561949
"Atlantis_00A","CH4",2039,0.0221955013561949
"Atlantis_00A","CH4",2040,0.0221955013561949
"Atlantis_00A","CH4",2041,0.0221955013561949
"Atlantis_00A","CH4",2042,0.0221955013561949
"Atlantis_00A","CH4",2043,0.0221955013561949
"Atlantis_00A","CH4",2044,0.0221955013561949
"Atlantis_00A","CH4",2045,0.0221955013561949
"Atlantis_00A","CH4",2046,0.0221955013561949
"Atlantis_00A","CH4",2047,0.0221955013561949
"Atlantis_00A","CH4",2048,0.0221955013561949
"Atlantis_00A","CH4",2049,0.0221955013561949
"Atlantis_00A","CH4",2050,0.0221955013561949
"Atlantis_00A","CH4",2051,0.0221937413580982
"Atlantis_00A","CH4",2052,0
"Atlantis_00A","CH4",2053,0
"Atlantis_00A","CH4",2054,0
"Atlantis_00A","CH4",2055,0
