r,t,y,CapitalInvestment
"Atlantis_00A","BM_IMP",2014,0.003837976144
"Atlantis_00A","BM_IMP",2015,0.003639976144
"Atlantis_00A","BM_IMP",2016,0.003830976144
"Atlantis_00A","BM_IMP",2017,0.004029976144
"Atlantis_00A","BM_IMP",2018,0.004002976144
"Atlantis_00A","BM_IMP",2019,0.003459976144
"Atlantis_00A","BM_IMP",2020,0.003803976144
"Atlantis_00A","BM_IMP",2021,0.003033976144
"Atlantis_00A","BM_IMP",2022,0.003130976144
"Atlantis_00A","BM_IMP",2023,0.003056399690592
"Atlantis_00A","BM_IMP",2024,0.00311807320332
"Atlantis_00A","BM_IMP",2025,0.00314707320332
"Atlantis_00A","BM_IMP",2026,0.00321507320332
"Atlantis_00A","BM_IMP",2027,0.00328307320332
"Atlantis_00A","BM_IMP",2028,0.00324926789972
"Atlantis_00A","BM_IMP",2029,0.00331826789972
"Atlantis_00A","BM_IMP",2030,0.00338626789972
"Atlantis_00A","BM_IMP",2031,0.00345526789972
"Atlantis_00A","BM_IMP",2032,0.00352326789972
"Atlantis_00A","BM_IMP",2033,0.00359126789972
"Atlantis_00A","BM_IMP",2034,0.00365926789972
"Atlantis_00A","BM_IMP",2035,0.00372726789972
"Atlantis_00A","BM_IMP",2036,0.003279
"Atlantis_00A","BM_IMP",2037,0.003347
"Atlantis_00A","BM_IMP",2038,0.00341600000000001
"Atlantis_00A","BM_IMP",2039,0.003483
"Atlantis_00A","BM_IMP",2040,0.003551
"Atlantis_00A","BM_IMP",2041,0.003619
"Atlantis_00A","BM_IMP",2042,0.003687
"Atlantis_00A","BM_IMP",2043,0.003756
"Atlantis_00A","BM_IMP",2044,0.003824
"Atlantis_00A","BM_IMP",2045,0.003893
"Atlantis_00A","BM_IMP",2046,0.00396
"Atlantis_00A","BM_IMP",2047,0.004029
"Atlantis_00A","BM_IMP",2048,0.004097
"Atlantis_00A","BM_IMP",2049,0.004165
"Atlantis_00A","BM_IMP",2050,0.004234
"Atlantis_00A","BM_IMP",2051,0.004303
"Atlantis_00A","BM_IMP",2052,0.004371
"Atlantis_00A","BM_IMP",2053,0.004439
"Atlantis_00A","BM_IMP",2054,0.004508
"Atlantis_00A","BM_IMP",2055,0.004576
"Atlantis_00A","BM_IND",2014,0.002565
"Atlantis_00A","BM_IND",2015,0.002475
"Atlantis_00A","BM_IND",2016,0.002664
"Atlantis_00A","BM_IND",2017,0.002892
"Atlantis_00A","BM_IND",2018,0.00286
"Atlantis_00A","BM_IND",2019,0.002464528944
"Atlantis_00A","BM_IND",2020,0.002722
"Atlantis_00A","BM_IND",2021,0.002075528944
"Atlantis_00A","BM_IND",2022,0.002166
"Atlantis_00A","BM_IND",2023,0.002189
"Atlantis_00A","BM_IND",2024,0.00221533401086286
"Atlantis_00A","BM_IND",2025,0.00227919115372
"Atlantis_00A","BM_IND",2026,0.00231690543943429
"Atlantis_00A","BM_IND",2027,0.00239633401086286
"Atlantis_00A","BM_IND",2028,0.00247
"Atlantis_00A","BM_IND",2029,0.002548
"Atlantis_00A","BM_IND",2030,0.00262737417240572
"Atlantis_00A","BM_IND",2031,0.00270665988669143
"Atlantis_00A","BM_IND",2032,0.00278608845812
"Atlantis_00A","BM_IND",2033,0.00286551702954857
"Atlantis_00A","BM_IND",2034,0.00294494560097714
"Atlantis_00A","BM_IND",2035,0.00302437417240571
"Atlantis_00A","BM_IND",2036,0.003094
"Atlantis_00A","BM_IND",2037,0.003172
"Atlantis_00A","BM_IND",2038,0.00325
"Atlantis_00A","BM_IND",2039,0.003327
"Atlantis_00A","BM_IND",2040,0.003405
"Atlantis_00A","BM_IND",2041,0.003483
"Atlantis_00A","BM_IND",2042,0.003561
"Atlantis_00A","BM_IND",2043,0.003639
"Atlantis_00A","BM_IND",2044,0.003717
"Atlantis_00A","BM_IND",2045,0.003795
"Atlantis_00A","BM_IND",2046,0.003873
"Atlantis_00A","BM_IND",2047,0.003951
"Atlantis_00A","BM_IND",2048,0.004029
"Atlantis_00A","BM_IND",2049,0.004107
"Atlantis_00A","BM_IND",2050,0.004185
"Atlantis_00A","BM_IND",2051,0.004264
"Atlantis_00A","BM_IND",2052,0.004342
"Atlantis_00A","BM_IND",2053,0.00442
"Atlantis_00A","BM_IND",2054,0.004498
"Atlantis_00A","BM_IND",2055,0.004576
"Atlantis_00A","BM_RES",2014,0.000596528944
"Atlantis_00A","BM_RES",2015,0.000488528944
"Atlantis_00A","BM_RES",2016,0.000490528944
"Atlantis_00A","BM_RES",2017,0.000461528943999999
"Atlantis_00A","BM_RES",2018,0.000466528944
"Atlantis_00A","BM_RES",2019,0.000319
"Atlantis_00A","BM_RES",2020,0.000405528944000001
"Atlantis_00A","BM_RES",2021,0.000282
"Atlantis_00A","BM_RES",2022,0.000288528944
"Atlantis_00A","BM_RES",2023,0.000291517640992
