r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","BM_IMP",2014,0
"Atlantis_00A","BM_IMP",2015,0
"Atlantis_00A","BM_IMP",2016,0
"Atlantis_00A","BM_IMP",2017,0
"Atlantis_00A","BM_IMP",2018,0
"Atlantis_00A","BM_IMP",2019,0
"Atlantis_00A","BM_IMP",2020,0
"Atlantis_00A","BM_IMP",2021,0
"Atlantis_00A","BM_IMP",2022,0
"Atlantis_00A","BM_IMP",2023,0
"Atlantis_00A","BM_IMP",2024,0
"Atlantis_00A","BM_IMP",2025,0
"Atlantis_00A","BM_IMP",2026,0
"Atlantis_00A","BM_IMP",2027,0
"Atlantis_00A","BM_IMP",2028,0
"Atlantis_00A","BM_IMP",2029,0
"Atlantis_00A","BM_IMP",2030,0
"Atlantis_00A","BM_IMP",2031,0
"Atlantis_00A","BM_IMP",2032,0
"Atlantis_00A","BM_IMP",2033,0
"Atlantis_00A","BM_IMP",2034,0
"Atlantis_00A","BM_IMP",2035,0
"Atlantis_00A","BM_IMP",2036,0
"Atlantis_00A","BM_IMP",2037,0
"Atlantis_00A","BM_IMP",2038,0
"Atlantis_00A","BM_IMP",2039,0
"Atlantis_00A","BM_IMP",2040,0
"Atlantis_00A","BM_IMP",2041,0
"Atlantis_00A","BM_IMP",2042,0
"Atlantis_00A","BM_IMP",2043,0
"Atlantis_00A","BM_IMP",2044,0
"Atlantis_00A","BM_IMP",2045,0
"Atlantis_00A","BM_IMP",2046,0
"Atlantis_00A","BM_IMP",2047,0
"Atlantis_00A","BM_IMP",2048,0
"Atlantis_00A","BM_IMP",2049,0
"Atlantis_00A","BM_IMP",2050,0
"Atlantis_00A","BM_IMP",2051,0
"Atlantis_00A","BM_IMP",2052,0
"Atlantis_00A","BM_IMP",2053,0
"Atlantis_00A","BM_IMP",2054,0
"Atlantis_00A","BM_IMP",2055,0
"Atlantis_00A","BM_IND",2014,0
"Atlantis_00A","BM_IND",2015,0
"Atlantis_00A","BM_IND",2016,0
"Atlantis_00A","BM_IND",2017,0
"Atlantis_00A","BM_IND",2018,0
"Atlantis_00A","BM_IND",2019,0
"Atlantis_00A","BM_IND",2020,0
"Atlantis_00A","BM_IND",2021,0
"Atlantis_00A","BM_IND",2022,0
"Atlantis_00A","BM_IND",2023,0
"Atlantis_00A","BM_IND",2024,0
"Atlantis_00A","BM_IND",2025,0
"Atlantis_00A","BM_IND",2026,0
"Atlantis_00A","BM_IND",2027,0
"Atlantis_00A","BM_IND",2028,0
"Atlantis_00A","BM_IND",2029,0
"Atlantis_00A","BM_IND",2030,0
"Atlantis_00A","BM_IND",2031,0
"Atlantis_00A","BM_IND",2032,0
"Atlantis_00A","BM_IND",2033,0
"Atlantis_00A","BM_IND",2034,0
"Atlantis_00A","BM_IND",2035,0
"Atlantis_00A","BM_IND",2036,0
"Atlantis_00A","BM_IND",2037,0
"Atlantis_00A","BM_IND",2038,0
"Atlantis_00A","BM_IND",2039,0
"Atlantis_00A","BM_IND",2040,0
"Atlantis_00A","BM_IND",2041,0
"Atlantis_00A","BM_IND",2042,0
"Atlantis_00A","BM_IND",2043,0
"Atlantis_00A","BM_IND",2044,0
"Atlantis_00A","BM_IND",2045,0
"Atlantis_00A","BM_IND",2046,0
"Atlantis_00A","BM_IND",2047,0
"Atlantis_00A","BM_IND",2048,0
"Atlantis_00A","BM_IND",2049,0
"Atlantis_00A","BM_IND",2050,0
"Atlantis_00A","BM_IND",2051,0
"Atlantis_00A","BM_IND",2052,0
"Atlantis_00A","BM_IND",2053,0
"Atlantis_00A","BM_IND",2054,0
"Atlantis_00A","BM_IND",2055,0
"Atlantis_00A","BM_RES",2014,0
"Atlantis_00A","BM_RES",2015,0
"Atlantis_00A","BM_RES",2016,0
"Atlantis_00A","BM_RES",2017,0
"Atlantis_00A","BM_RES",2018,0
"Atlantis_00A","BM_RES",2019,0
"Atlantis_00A","BM_RES",2020,0
"Atlantis_00A","BM_RES",2021,0
"Atlantis_00A","BM_RES",2022,0
"Atlantis_00A","BM_RES",2023,0
"Atlantis_00A","BM_RES",2024,0
"Atlantis_00A","BM_RES",2025,0
"Atlantis_00A","BM_RES",2026,0
"Atlantis_00A","BM_RES",2027,0
"Atlantis_00A","BM_RES",2028,0
"Atlantis_00A","BM_RES",2029,0
"Atlantis_00A","BM_RES",2030,0
"Atlantis_00A","BM_RES",2031,0
"Atlantis_00A","BM_RES",2032,0
"Atlantis_00A","BM_RES",2033,0
"Atlantis_00A","BM_RES",2034,0
"Atlantis_00A","BM_RES",2035,0
"Atlantis_00A","BM_RES",2036,0
"Atlantis_00A","BM_RES",2037,0
"Atlantis_00A","BM_RES",2038,0
"Atlantis_00A","BM_RES",2039,0
"Atlantis_00A","BM_RES",2040,0
"Atlantis_00A","BM_RES",2041,0
"Atlantis_00A","BM_RES",2042,0
"Atlantis_00A","BM_RES",2043,0
"Atlantis_00A","BM_RES",2044,0
"Atlantis_00A","BM_RES",2045,0
"Atlantis_00A","BM_RES",2046,0
"Atlantis_00A","BM_RES",2047,0
"Atlantis_00A","BM_RES",2048,0
"Atlantis_00A","BM_RES",2049,0
"Atlantis_00A","BM_RES",2050,0
"Atlantis_00A","BM_RES",2051,0
"Atlantis_00A","BM_RES",2052,0
"Atlantis_00A","BM_RES",2053,0
"Atlantis_00A","BM_RES",2054,0
"Atlantis_00A","BM_RES",2055,0
"Atlantis_00A","BM_SC",2014,0
"Atlantis_00A","BM_SC",2015,0
"Atlantis_00A","BM_SC",2016,0
"Atlantis_00A","BM_SC",2017,0
"Atlantis_00A","BM_SC",2018,0
