r,s,y,SalvageValueStorage
"Atlantis_00A","DAM",2014,0
"Atlantis_00A","DAM",2015,0
"Atlantis_00A","DAM",2016,0
"Atlantis_00A","DAM",2017,0
"Atlantis_00A","DAM",2018,0
"Atlantis_00A","DAM",2019,0
"Atlantis_00A","DAM",2020,0
"Atlantis_00A","DAM",2021,0
"Atlantis_00A","DAM",2022,0
"Atlantis_00A","DAM",2023,0
"Atlantis_00A","DAM",2024,0
"Atlantis_00A","DAM",2025,0
"Atlantis_00A","DAM",2026,0
"Atlantis_00A","DAM",2027,0
"Atlantis_00A","DAM",2028,0
"Atlantis_00A","DAM",2029,0
"Atlantis_00A","DAM",2030,0
"Atlantis_00A","DAM",2031,0
"Atlantis_00A","DAM",2032,0
"Atlantis_00A","DAM",2033,0
"Atlantis_00A","DAM",2034,0
"Atlantis_00A","DAM",2035,0
"Atlantis_00A","DAM",2036,0
"Atlantis_00A","DAM",2037,0
"Atlantis_00A","DAM",2038,0
"Atlantis_00A","DAM",2039,0
"Atlantis_00A","DAM",2040,0
"Atlantis_00A","DAM",2041,0
"Atlantis_00A","DAM",2042,0
"Atlantis_00A","DAM",2043,0
"Atlantis_00A","DAM",2044,0
"Atlantis_00A","DAM",2045,0
"Atlantis_00A","DAM",2046,0
"Atlantis_00A","DAM",2047,0
"Atlantis_00A","DAM",2048,0
"Atlantis_00A","DAM",2049,0
"Atlantis_00A","DAM",2050,0
"Atlantis_00A","DAM",2051,0
"Atlantis_00A","DAM",2052,0
"Atlantis_00A","DAM",2053,0
"Atlantis_00A","DAM",2054,0
"Atlantis_00A","DAM",2055,0
