r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","BM_IMP",1,2014,37.36509064
"Atlantis_00A","BM_IMP",1,2015,35.38509064
"Atlantis_00A","BM_IMP",1,2016,37.29509064
"Atlantis_00A","BM_IMP",1,2017,39.28509064
"Atlantis_00A","BM_IMP",1,2018,39.01509064
"Atlantis_00A","BM_IMP",1,2019,33.58509064
"Atlantis_00A","BM_IMP",1,2020,37.02509064
"Atlantis_00A","BM_IMP",1,2021,29.32509064
"Atlantis_00A","BM_IMP",1,2022,30.29509064
"Atlantis_00A","BM_IMP",1,2023,29.70017383152
"Atlantis_00A","BM_IMP",1,2024,30.00017383152
"Atlantis_00A","BM_IMP",1,2025,30.29017383152
"Atlantis_00A","BM_IMP",1,2026,30.97017383152
"Atlantis_00A","BM_IMP",1,2027,31.65017383152
"Atlantis_00A","BM_IMP",1,2028,31.50626114192
"Atlantis_00A","BM_IMP",1,2029,32.19626114192
"Atlantis_00A","BM_IMP",1,2030,32.87626114192
"Atlantis_00A","BM_IMP",1,2031,33.56626114192
"Atlantis_00A","BM_IMP",1,2032,34.24626114192
"Atlantis_00A","BM_IMP",1,2033,34.92626114192
"Atlantis_00A","BM_IMP",1,2034,35.60626114192
"Atlantis_00A","BM_IMP",1,2035,36.28626114192
"Atlantis_00A","BM_IMP",1,2036,32.79
"Atlantis_00A","BM_IMP",1,2037,33.47
"Atlantis_00A","BM_IMP",1,2038,34.1600000000001
"Atlantis_00A","BM_IMP",1,2039,34.83
"Atlantis_00A","BM_IMP",1,2040,35.51
"Atlantis_00A","BM_IMP",1,2041,36.19
"Atlantis_00A","BM_IMP",1,2042,36.87
"Atlantis_00A","BM_IMP",1,2043,37.56
"Atlantis_00A","BM_IMP",1,2044,38.24
"Atlantis_00A","BM_IMP",1,2045,38.93
"Atlantis_00A","BM_IMP",1,2046,39.6
"Atlantis_00A","BM_IMP",1,2047,40.29
"Atlantis_00A","BM_IMP",1,2048,40.97
"Atlantis_00A","BM_IMP",1,2049,41.65
"Atlantis_00A","BM_IMP",1,2050,42.34
"Atlantis_00A","BM_IMP",1,2051,43.03
"Atlantis_00A","BM_IMP",1,2052,43.71
"Atlantis_00A","BM_IMP",1,2053,44.39
"Atlantis_00A","BM_IMP",1,2054,45.08
"Atlantis_00A","BM_IMP",1,2055,45.76
"Atlantis_00A","BM_IND",1,2014,25.65
"Atlantis_00A","BM_IND",1,2015,24.75
"Atlantis_00A","BM_IND",1,2016,26.64
"Atlantis_00A","BM_IND",1,2017,28.92
"Atlantis_00A","BM_IND",1,2018,28.6
