r,t,y,TotalCapacityAnnual
"Atlantis_00A","BM_IMP",2014,38.37976144
"Atlantis_00A","BM_IMP",2015,36.39976144
"Atlantis_00A","BM_IMP",2016,38.30976144
"Atlantis_00A","BM_IMP",2017,40.29976144
"Atlantis_00A","BM_IMP",2018,40.02976144
"Atlantis_00A","BM_IMP",2019,34.59976144
"Atlantis_00A","BM_IMP",2020,38.03976144
"Atlantis_00A","BM_IMP",2021,30.33976144
"Atlantis_00A","BM_IMP",2022,31.30976144
"Atlantis_00A","BM_IMP",2023,30.56399690592
"Atlantis_00A","BM_IMP",2024,31.1807320332
"Atlantis_00A","BM_IMP",2025,31.4707320332
"Atlantis_00A","BM_IMP",2026,32.1507320332
"Atlantis_00A","BM_IMP",2027,32.8307320332
"Atlantis_00A","BM_IMP",2028,32.4926789972
"Atlantis_00A","BM_IMP",2029,33.1826789972
"Atlantis_00A","BM_IMP",2030,33.8626789972
"Atlantis_00A","BM_IMP",2031,34.5526789972
"Atlantis_00A","BM_IMP",2032,35.2326789972
"Atlantis_00A","BM_IMP",2033,35.9126789972
"Atlantis_00A","BM_IMP",2034,36.5926789972
"Atlantis_00A","BM_IMP",2035,37.2726789972
"Atlantis_00A","BM_IMP",2036,32.79
"Atlantis_00A","BM_IMP",2037,33.47
"Atlantis_00A","BM_IMP",2038,34.1600000000001
"Atlantis_00A","BM_IMP",2039,34.83
"Atlantis_00A","BM_IMP",2040,35.51
"Atlantis_00A","BM_IMP",2041,36.19
"Atlantis_00A","BM_IMP",2042,36.87
"Atlantis_00A","BM_IMP",2043,37.56
"Atlantis_00A","BM_IMP",2044,38.24
"Atlantis_00A","BM_IMP",2045,38.93
"Atlantis_00A","BM_IMP",2046,39.6
"Atlantis_00A","BM_IMP",2047,40.29
"Atlantis_00A","BM_IMP",2048,40.97
"Atlantis_00A","BM_IMP",2049,41.65
"Atlantis_00A","BM_IMP",2050,42.34
"Atlantis_00A","BM_IMP",2051,43.03
"Atlantis_00A","BM_IMP",2052,43.71
"Atlantis_00A","BM_IMP",2053,44.39
"Atlantis_00A","BM_IMP",2054,45.08
"Atlantis_00A","BM_IMP",2055,45.76
"Atlantis_00A","BM_IND",2014,25.65
"Atlantis_00A","BM_IND",2015,24.75
"Atlantis_00A","BM_IND",2016,26.64
"Atlantis_00A","BM_IND",2017,28.92
"Atlantis_00A","BM_IND",2018,28.6
"Atlantis_00A","BM_IND",2019,24.64528944
"Atlantis_00A","BM_IND",2020,27.22
"Atlantis_00A","BM_IND",2021,20.75528944
"Atlantis_00A","BM_IND",2022,21.66
"Atlantis_00A","BM_IND",2023,21.89
"Atlantis_00A","BM_IND",2024,22.1533401086286
"Atlantis_00A","BM_IND",2025,22.7919115372
"Atlantis_00A","BM_IND",2026,23.1690543943429
"Atlantis_00A","BM_IND",2027,23.9633401086286
"Atlantis_00A","BM_IND",2028,24.7
"Atlantis_00A","BM_IND",2029,25.48
"Atlantis_00A","BM_IND",2030,26.2737417240572
"Atlantis_00A","BM_IND",2031,27.0665988669143
"Atlantis_00A","BM_IND",2032,27.8608845812
"Atlantis_00A","BM_IND",2033,28.6551702954857
"Atlantis_00A","BM_IND",2034,29.4494560097714
"Atlantis_00A","BM_IND",2035,30.2437417240571
"Atlantis_00A","BM_IND",2036,30.94
"Atlantis_00A","BM_IND",2037,31.72
