r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","BM_IMP",1,2014,37.36509064
"Atlantis_00A","BM_IMP",1,2015,35.38509064
"Atlantis_00A","BM_IMP",1,2016,37.29509064
"Atlantis_00A","BM_IMP",1,2017,39.28509064
"Atlantis_00A","BM_IMP",1,2018,39.01509064
"Atlantis_00A","BM_IMP",1,2019,33.58509064
"Atlantis_00A","BM_IMP",1,2020,37.02509064
"Atlantis_00A","BM_IMP",1,2021,29.32509064
"Atlantis_00A","BM_IMP",1,2022,30.29509064
"Atlantis_00A","BM_IMP",1,2023,29.70017383152
"Atlantis_00A","BM_IMP",1,2024,30.00017383152
"Atlantis_00A","BM_IMP",1,2025,30.29017383152
"Atlantis_00A","BM_IMP",1,2026,30.58017383152
"Atlantis_00A","BM_IMP",1,2027,30.88017383152
"Atlantis_00A","BM_IMP",1,2028,30.36626114192
"Atlantis_00A","BM_IMP",1,2029,30.67626114192
"Atlantis_00A","BM_IMP",1,2030,30.88626114192
"Atlantis_00A","BM_IMP",1,2031,30.88626114192
"Atlantis_00A","BM_IMP",1,2032,30.89626114192
"Atlantis_00A","BM_IMP",1,2033,29.3564869288
"Atlantis_00A","BM_IMP",1,2034,29.3564869288
"Atlantis_00A","BM_IMP",1,2035,29.3664869288
"Atlantis_00A","BM_IMP",1,2036,27.19
"Atlantis_00A","BM_IMP",1,2037,27.66
"Atlantis_00A","BM_IMP",1,2038,28.15
"Atlantis_00A","BM_IMP",1,2039,28.65
"Atlantis_00A","BM_IMP",1,2040,29.08
"Atlantis_00A","BM_IMP",1,2041,29.25
"Atlantis_00A","BM_IMP",1,2042,29.43
"Atlantis_00A","BM_IMP",1,2043,29.6
"Atlantis_00A","BM_IMP",1,2044,29.78
"Atlantis_00A","BM_IMP",1,2045,29.96
"Atlantis_00A","BM_IMP",1,2046,30.14
"Atlantis_00A","BM_IMP",1,2047,30.32
"Atlantis_00A","BM_IMP",1,2048,30.52
"Atlantis_00A","BM_IMP",1,2049,30.71
"Atlantis_00A","BM_IMP",1,2050,30.82
"Atlantis_00A","BM_IMP",1,2051,31.01
"Atlantis_00A","BM_IMP",1,2052,31.2
"Atlantis_00A","BM_IMP",1,2053,31.4
"Atlantis_00A","BM_IMP",1,2054,31.59
"Atlantis_00A","BM_IMP",1,2055,31.79
"Atlantis_00A","BM_IND",1,2014,25.65
"Atlantis_00A","BM_IND",1,2015,24.75
"Atlantis_00A","BM_IND",1,2016,26.64
"Atlantis_00A","BM_IND",1,2017,28.92
"Atlantis_00A","BM_IND",1,2018,28.6
