r,t,TotalTechnologyModelPeriodActivity
"Atlantis_00A","BM_IMP",0
"Atlantis_00A","BM_IND",0
"Atlantis_00A","BM_RES",0
"Atlantis_00A","BM_SC",0
"Atlantis_00A","CONS_BM",0
"Atlantis_00A","CONS_DS",0
"Atlantis_00A","CONS_HF",0
"Atlantis_00A","CONS_NG",0
"Atlantis_00A","DIST_IND",0
"Atlantis_00A","DIST_OTH",0
"Atlantis_00A","DIST_RES",0
"Atlantis_00A","DIST_SER",0
"Atlantis_00A","DIST_TRA",0
"Atlantis_00A","DS_IMP",0
"Atlantis_00A","DS_IND",0
"Atlantis_00A","DS_OTH",0
"Atlantis_00A","DS_TRA",0
"Atlantis_00A","DSGC",0
"Atlantis_00A","EXP_HF",0
"Atlantis_00A","EXP_NG",0
"Atlantis_00A","GT_FC",0
"Atlantis_00A","HF_IMP",0
"Atlantis_00A","HF_IND",0
"Atlantis_00A","HF_OTH",0
"Atlantis_00A","HF_RES",0
"Atlantis_00A","HF_SER",0
"Atlantis_00A","HF_TRA",0
"Atlantis_00A","HYDRO_DAM",0
"Atlantis_00A","HYDRO_MIN",0
"Atlantis_00A","NG_IMP",0
"Atlantis_00A","NG_IND",0
"Atlantis_00A","NG_OTH",0
"Atlantis_00A","NG_RES",0
"Atlantis_00A","NG_SER",0
"Atlantis_00A","NG_TRA",0
"Atlantis_00A","NGCC",0
"Atlantis_00A","NGSC",0
"Atlantis_00A","PV_ROF",0
"Atlantis_00A","PV_UTL",0
"Atlantis_00A","TRANS",0
"Atlantis_00A","WIND",0
